DIP-791N YBL101C 
DIP-7915N YDR039C 
DIP-7914N YGR055W 
DIP-7912N YMR011W 
DIP-7911N YDL095W 
DIP-7908N YHR092C 
DIP-7904N YNR002C 
DIP-7902N YGR138C 
DIP-7900N YDR046C 
DIP-789N YMR005W 
DIP-7899N YGL167C 
DIP-7898N YBR029C 
DIP-7894N YCR010C 
DIP-7890N YAL020C 
DIP-7886N YHR007C 
DIP-7880N YCL018W 
DIP-7873N YJR152W 
DIP-7868N YOR016C 
DIP-7864N YNL304W 
DIP-785N YER136W 
DIP-7853N YBR131W 
DIP-7852N YDR539W 
DIP-7848N YNL130C 
DIP-7842N YCR037C 
DIP-783N YPL050C 
DIP-7838N YBR199W 
DIP-782N YLR220W 
DIP-7826N YAR028W 
DIP-7821N YIR019C 
DIP-7817N YNL077W 
DIP-7811N YDR055W 
DIP-780N YNL257C 
DIP-7809N YPL147W 
DIP-7808N YKL219W 
DIP-77N YNL138W 
DIP-7780N YGL114W 
DIP-777N YDR422C 
DIP-7773N YGR216C 
DIP-776N YNR050C 
DIP-7764N YDR522C 
DIP-7762N YGL177W 
DIP-775N YOR232W 
DIP-7756N YDL198C 
DIP-7753N YBR290W 
DIP-774N YDR176W 
DIP-7745N YPL177C 
DIP-7741N YDR297W 
DIP-7736N YJR154W 
DIP-7733N YMR119W 
DIP-7726N YNR056C 
DIP-7724N YCL048W 
DIP-771N YBR081C 
DIP-7718N YBL040C 
DIP-7713N YJL062W 
DIP-770N YDR388W 
DIP-7698N R0020C 
DIP-7695N YNL177C 
DIP-7678N YER188W 
DIP-7675N YFL048C 
DIP-7672N YCR028C 
DIP-7670N YIR011C 
DIP-7667N YJR044C 
DIP-7661N YCR105W 
DIP-764N YFL016C 
DIP-7648N YLR259C 
DIP-763N YKR090W 
DIP-7636N YMR274C 
DIP-762N YKR084C 
DIP-7629N YEL017C-A 
DIP-7626N YNR060W 
DIP-7625N YBR015C 
DIP-761N YKR025W 
DIP-7617N YMR301C 
DIP-7610N YBR037C 
DIP-760N YKL205W 
DIP-7609N YJR088C 
DIP-7607N YER005W 
DIP-7605N YLR204W 
DIP-7600N YPL087W 
DIP-75N YPR141C 
DIP-759N YKL173W 
DIP-7596N YFL004W 
DIP-7593N YER056C 
DIP-7592N Q0250 
DIP-758N YKL074C 
DIP-7589N YER001W 
DIP-7587N YIL101C 
DIP-7586N YHR110W 
DIP-7582N YML133C 
DIP-757N YBR117C 
DIP-7575N YPR198W 
DIP-756N YKL155C 
DIP-7566N YDR265W 
DIP-755N YKR055W 
DIP-7554N YOR316C 
DIP-7548N YLR318W 
DIP-7544N YBR298C 
DIP-7543N YGR224W 
DIP-7542N YOR067C 
DIP-7541N YNR026C 
DIP-753N YML100W 
DIP-7527N YDL248W 
DIP-7524N YFL062W 
DIP-7523N YNL336W 
DIP-7521N YJR161C 
DIP-7520N YNL001W 
DIP-7510N YJL108C 
DIP-7497N YPL132W 
DIP-7485N YDL120W 
DIP-747N YLR293C 
DIP-7479N YHL047C 
DIP-7473N YKL220C 
DIP-7472N YEL003W 
DIP-746N YLL011W 
DIP-7463N YNR045W 
DIP-7461N YDL200C 
DIP-745N YFR002W 
DIP-7454N YJL129C 
DIP-744N YBR126C 
DIP-7441N YGR259C 
DIP-7438N YNL048W 
DIP-7435N YGR125W 
DIP-7433N YLR278C 
DIP-742N YKL182W 
DIP-7429N YKL159C 
DIP-7421N YIL170W 
DIP-741N YKL188C 
DIP-740N YBR198C 
DIP-7407N YFL025C 
DIP-7406N YDR497C 
DIP-7405N YBR183W 
DIP-7379N YJL193W 
DIP-7378N YJR054W 
DIP-7376N YCR028C-A 
DIP-7371N YBR110W 
DIP-7358N YPR133W-A 
DIP-7343N YOR058C 
DIP-7334N YCL020W 
DIP-7333N YCL019W 
DIP-732N YNL199C 
DIP-7328N YKR078W 
DIP-7322N YGL247W 
DIP-731N YIL143C 
DIP-7316N YDR414C 
DIP-7315N YAL056W 
DIP-7312N YNL339C 
DIP-730N YKR080W 
DIP-7300N YNR070W 
DIP-72N YMR043W 
DIP-7299N YIL088C 
DIP-7298N YHR078W 
DIP-7297N YKL089W 
DIP-7295N YKL041W 
DIP-7290N YJR106W 
DIP-728N YNL189W 
DIP-7287N YCL074W 
