DIP-724E DIP-95N 
DIP-747E DIP-613N DIP-58N 
DIP-794E DIP-232N DIP-379N 
DIP-995E DIP-582N DIP-221N 
DIP-530E DIP-303N DIP-109N 
DIP-718E DIP-318N DIP-131N 
DIP-532E DIP-533N DIP-109N 
DIP-560E DIP-1047N DIP-1078N 
DIP-611E DIP-442N DIP-1053N 
DIP-620E DIP-558N DIP-396N 
DIP-647E DIP-494N DIP-599N 
DIP-690E DIP-193N DIP-750N 
DIP-769E DIP-460N DIP-106N 
DIP-796E DIP-368N DIP-426N 
DIP-520E DIP-516N DIP-476N 
DIP-617E DIP-137N DIP-1056N 
DIP-757E DIP-173N DIP-43N 
DIP-618E DIP-1049N DIP-137N 
DIP-1060E DIP-173N DIP-274N 
DIP-1121E DIP-149N DIP-35N 
DIP-1370E DIP-1165N DIP-1166N 
DIP-1001E DIP-205N DIP-28145N 
DIP-1003E DIP-641N DIP-34N 
DIP-1004E DIP-641N DIP-241N 
DIP-1005E DIP-443N DIP-641N 
DIP-1006E DIP-641N DIP-444N 
DIP-1008E DIP-649N DIP-102N 
DIP-1009E DIP-648N DIP-102N 
DIP-1010E DIP-35N DIP-102N 
DIP-1011E DIP-161N DIP-102N 
DIP-1012E DIP-686N DIP-102N 
DIP-1013E DIP-1039N DIP-102N 
DIP-1019E DIP-246N DIP-638N 
DIP-1020E DIP-123N DIP-246N 
DIP-1021E DIP-246N DIP-149N 
DIP-1038E DIP-552N 
DIP-1039E DIP-552N DIP-251N 
DIP-1040E DIP-577N DIP-552N 
DIP-1044E DIP-552N DIP-186N 
DIP-1068E DIP-749N DIP-781N 
DIP-1069E DIP-1005N DIP-527N 
DIP-1070E DIP-438N DIP-749N 
DIP-1092E DIP-878N DIP-5961N 
DIP-1093E DIP-5961N DIP-519N 
DIP-1094E DIP-5961N DIP-281N 
DIP-1095E DIP-5961N DIP-1015N 
DIP-1096E DIP-5961N DIP-207N 
DIP-1097E DIP-5961N DIP-254N 
DIP-1098E DIP-5961N DIP-354N 
DIP-1099E DIP-1047N DIP-354N 
DIP-1105E DIP-1048N DIP-166N 
DIP-1106E DIP-323N DIP-1048N 
DIP-1107E DIP-1050N DIP-166N 
DIP-1108E DIP-323N DIP-1050N 
DIP-1115E DIP-1048N DIP-201N 
DIP-1118E DIP-166N DIP-59N 
DIP-1120E DIP-35N DIP-59N 
DIP-1132E DIP-363N 
DIP-1182E DIP-30N DIP-311N 
DIP-1194E DIP-1077N DIP-524N 
DIP-1282E DIP-405N DIP-699N 
DIP-1287E DIP-523N DIP-29229N 
DIP-1288E DIP-523N DIP-119N 
DIP-1289E DIP-558N DIP-119N 
DIP-1290E DIP-558N DIP-144N 
DIP-1292E DIP-558N DIP-100N 
DIP-1293E DIP-1108N DIP-2154N 
DIP-1300E DIP-574N DIP-1118N 
DIP-1301E DIP-574N DIP-1119N 
DIP-1302E DIP-1120N DIP-574N 
DIP-1303E DIP-133N DIP-29229N 
DIP-1304E DIP-1122N DIP-1121N 
DIP-1305E DIP-1122N DIP-1123N 
DIP-1306E DIP-1125N DIP-1124N 
DIP-1337E DIP-1133N DIP-1134N 
DIP-1338E DIP-1136N DIP-1134N 
DIP-1340E DIP-1134N DIP-1138N 
DIP-1366E DIP-1160N DIP-1161N 
DIP-1367E DIP-1162N 
DIP-1075E DIP-28145N DIP-465N 
DIP-1014E DIP-246N DIP-1098N 
DIP-1037E DIP-180N DIP-552N 
DIP-1100E DIP-354N DIP-660N 
DIP-1165E DIP-30N DIP-974N 
DIP-1291E DIP-29229N DIP-558N 
DIP-1059E DIP-133N DIP-43N 
DIP-1061E DIP-249N DIP-5961N 
DIP-1062E DIP-249N DIP-1050N 
DIP-1119E DIP-638N DIP-35N 
DIP-1076E DIP-205N DIP-465N 
DIP-2396E DIP-2155N DIP-2154N 
DIP-2439E DIP-2196N DIP-2197N 
DIP-3483E DIP-951N DIP-2651N 
DIP-3484E DIP-2651N DIP-2653N 
DIP-3486E DIP-951N DIP-2653N 
DIP-3488E DIP-951N DIP-2654N 
DIP-3489E DIP-2655N DIP-951N 
DIP-3491E DIP-2175N DIP-2657N 
DIP-3492E DIP-2657N 
DIP-3911E DIP-2895N 
DIP-3912E DIP-407N DIP-2895N 
DIP-3926E DIP-78N DIP-2895N 
DIP-3927E DIP-2910N DIP-78N 
DIP-3928E DIP-407N DIP-2910N 
DIP-3929E DIP-2910N 
DIP-3969E DIP-2895N DIP-2928N 
DIP-3970E DIP-2910N DIP-2928N 
DIP-3971E DIP-2910N DIP-2895N 
DIP-3972E DIP-2930N DIP-2929N 
DIP-3625E DIP-2736N DIP-2737N 
DIP-3626E DIP-2738N DIP-2736N 
DIP-4495E DIP-3222N DIP-3223N 
DIP-4139E DIP-2996N DIP-2910N 
DIP-4256E DIP-3023N DIP-3024N 
DIP-4221E DIP-3014N DIP-3013N 
DIP-4222E DIP-2997N DIP-3015N 
DIP-4223E DIP-3016N DIP-3015N 
DIP-4301E DIP-3042N DIP-3043N 
DIP-4302E DIP-3044N DIP-3045N 
